transmitter_id,transmittername,transmitter_codespace
1001.0,A180-1306-1001,A180-1306
1002.0,A180-1306-1002,A180-1306
1003.0,A180-1306-1003,A180-1306
1004.0,A180-1306-1004,A180-1306
1006.0,A180-1306-1006,A180-1306
1009.0,A180-1306-1009,A180-1306
1507.0,A69-1204-1507,A69-1204
1508.0,A69-1204-1508,A69-1204
1511.0,A69-1204-1511,A69-1204
1514.0,A69-1204-1514,A69-1204
1517.0,A69-1204-1517,A69-1204
1526.0,A69-1204-1526,A69-1204
1529.0,A69-1204-1529,A69-1204
1536.0,A69-1204-1536,A69-1204
1541.0,A69-1204-1541,A69-1204
1544.0,A69-1204-1544,A69-1204
1546.0,A69-1204-1546,A69-1204
1549.0,A69-1204-1549,A69-1204
1552.0,A69-1204-1552,A69-1204
1553.0,A69-1204-1553,A69-1204
1557.0,A69-1204-1557,A69-1204
1558.0,A69-1204-1558,A69-1204
1563.0,A69-1204-1563,A69-1204
1566.0,A69-1204-1566,A69-1204
1570.0,A69-1204-1570,A69-1204
1575.0,A69-1204-1575,A69-1204
1578.0,A69-1204-1578,A69-1204
1581.0,A69-1204-1581,A69-1204
1586.0,A69-1204-1586,A69-1204
1590.0,A69-1204-1590,A69-1204
1596.0,A69-1204-1596,A69-1204
1601.0,A69-1204-1601,A69-1204
1603.0,A69-1204-1603,A69-1204
1605.0,A69-1204-1605,A69-1204
2513.0,A69-1602-2513,A69-1602
2516.0,A69-1602-2516,A69-1602
2522.0,A69-1602-2522,A69-1602
2524.0,A69-1602-2524,A69-1602
2536.0,A69-1602-2536,A69-1602
2540.0,A69-1602-2540,A69-1602
2544.0,A69-1602-2544,A69-1602
2550.0,A69-1602-2550,A69-1602
2551.0,A69-1602-2551,A69-1602
2553.0,A69-1602-2553,A69-1602
2554.0,A69-1602-2554,A69-1602
2557.0,A69-1602-2557,A69-1602
2566.0,A69-1602-2566,A69-1602
2568.0,A69-1602-2568,A69-1602
2570.0,A69-1602-2570,A69-1602
2576.0,A69-1602-2576,A69-1602
2581.0,A69-1602-2581,A69-1602
2875.0,A69-1204-2875,A69-1204
2877.0,A69-1204-2877,A69-1204
2878.0,A69-1204-2878,A69-1204
2879.0,A69-1204-2879,A69-1204
2880.0,A69-1204-2880,A69-1204
2883.0,A69-1204-2883,A69-1204
2885.0,A69-1204-2885,A69-1204
2886.0,A69-1204-2886,A69-1204
2887.0,A69-1204-2887,A69-1204
2888.0,A69-1204-2888,A69-1204
2889.0,A69-1204-2889,A69-1204
2891.0,A69-1204-2891,A69-1204
3795.0,A69-1204-3795,A69-1204
3797.0,A69-1204-3797,A69-1204
3800.0,A69-1204-3800,A69-1204
3804.0,A69-1204-3804,A69-1204
3806.0,A69-1204-3806,A69-1204
3807.0,A69-1204-3807,A69-1204
3814.0,A69-1204-3814,A69-1204
3815.0,A69-1204-3815,A69-1204
3817.0,A69-1204-3817,A69-1204
3818.0,A69-1204-3818,A69-1204
3819.0,A69-1204-3819,A69-1204
3828.0,A69-1204-3828,A69-1204
3831.0,A69-1204-3831,A69-1204
3832.0,A69-1204-3832,A69-1204
3833.0,A69-1204-3833,A69-1204
3840.0,A69-1204-3840,A69-1204
3849.0,A69-1204-3849,A69-1204
3851.0,A69-1204-3851,A69-1204
3852.0,A69-1204-3852,A69-1204
3855.0,A69-1204-3855,A69-1204
3859.0,A69-1204-3859,A69-1204
3860.0,A69-1204-3860,A69-1204
3862.0,A69-1204-3862,A69-1204
3864.0,A69-1204-3864,A69-1204
3867.0,A69-1204-3867,A69-1204
3870.0,A69-1204-3870,A69-1204
3872.0,A69-1204-3872,A69-1204
3874.0,A69-1204-3874,A69-1204
3876.0,A69-1204-3876,A69-1204
3881.0,A69-1204-3881,A69-1204
3883.0,A69-1204-3883,A69-1204
3884.0,A69-1204-3884,A69-1204
3886.0,A69-1204-3886,A69-1204
3887.0,A69-1204-3887,A69-1204
7548.0,A69-9002-7548,A69-9002
7549.0,A69-9002-7549,A69-9002
7550.0,A69-9002-7550,A69-9002
7551.0,A69-9002-7551,A69-9002
10550.0,A69-1303-10550,A69-1303
10551.0,A69-1303-10551,A69-1303
10552.0,A69-1303-10552,A69-1303
10553.0,A69-1303-10553,A69-1303
10554.0,A69-1303-10554,A69-1303
10555.0,A69-1303-10555,A69-1303
10556.0,A69-1303-10556,A69-1303
10557.0,A69-1303-10557,A69-1303
10559.0,A69-1303-10559,A69-1303
10560.0,A69-1303-10560,A69-1303
10561.0,A69-1303-10561,A69-1303
10562.0,A69-1303-10562,A69-1303
10563.0,A69-1303-10563,A69-1303
10564.0,A69-1303-10564,A69-1303
10565.0,A69-1303-10565,A69-1303
10566.0,A69-1303-10566,A69-1303
10567.0,A69-1303-10567,A69-1303
10568.0,A69-1303-10568,A69-1303
10569.0,A69-1303-10569,A69-1303
11277.0,A69-9002-11277,A69-9002
11278.0,A69-9002-11278,A69-9002
11528.0,A69-9002-11528,A69-9002
11529.0,A69-9002-11529,A69-9002
11530.0,A69-9002-11530,A69-9002
11531.0,A69-9002-11531,A69-9002
11532.0,A69-9002-11532,A69-9002
11533.0,A69-9002-11533,A69-9002
11534.0,A69-9002-11534,A69-9002
11535.0,A69-9002-11535,A69-9002
11536.0,A69-9002-11536,A69-9002
11537.0,A69-9002-11537,A69-9002
11538.0,A69-9002-11538,A69-9002
11539.0,A69-9002-11539,A69-9002
11540.0,A69-9002-11540,A69-9002
11541.0,A69-9002-11541,A69-9002
11542.0,A69-9002-11542,A69-9002
11543.0,A69-9002-11543,A69-9002
11544.0,A69-9002-11544,A69-9002
11545.0,A69-9002-11545,A69-9002
11546.0,A69-9002-11546,A69-9002
11547.0,A69-9002-11547,A69-9002
11548.0,A69-9002-11548,A69-9002
11549.0,A69-9002-11549,A69-9002
11552.0,A69-9002-11552,A69-9002
11553.0,A69-9002-11553,A69-9002
11554.0,A69-9002-11554,A69-9002
11555.0,A69-9002-11555,A69-9002
11556.0,A69-9002-11556,A69-9002
11557.0,A69-9002-11557,A69-9002
14152.0,A69-1303-14152,A69-1303
14154.0,A69-1303-14154,A69-1303
14155.0,A69-1303-14155,A69-1303
14156.0,A69-1303-14156,A69-1303
14157.0,A69-1303-14157,A69-1303
14158.0,A69-1303-14158,A69-1303
14161.0,A69-1303-14161,A69-1303
14162.0,A69-1303-14162,A69-1303
14163.0,A69-1303-14163,A69-1303
14164.0,A69-1303-14164,A69-1303
14165.0,A69-1303-14165,A69-1303
14166.0,A69-1303-14166,A69-1303
14171.0,A69-1303-14171,A69-1303
18033.0,A69-1303-18033,A69-1303
18036.0,A69-1303-18036,A69-1303
18038.0,A69-1303-18038,A69-1303
18039.0,A69-1303-18039,A69-1303
18040.0,A69-1303-18040,A69-1303
18041.0,A69-1303-18041,A69-1303
18043.0,A69-1303-18043,A69-1303
18044.0,A69-1303-18044,A69-1303
18046.0,A69-1303-18046,A69-1303
18047.0,A69-1303-18047,A69-1303
18048.0,A69-1303-18048,A69-1303
18049.0,A69-1303-18049,A69-1303
18050.0,A69-1303-18050,A69-1303
18051.0,A69-1303-18051,A69-1303
18052.0,A69-1303-18052,A69-1303
18053.0,A69-1303-18053,A69-1303
18054.0,A69-1303-18054,A69-1303
18055.0,A69-1303-18055,A69-1303
18056.0,A69-1303-18056,A69-1303
18057.0,A69-1303-18057,A69-1303
18058.0,A69-1303-18058,A69-1303
18059.0,A69-1303-18059,A69-1303
18060.0,A69-1303-18060,A69-1303
18062.0,A69-1303-18062,A69-1303
18063.0,A69-1303-18063,A69-1303
18064.0,A69-1303-18064,A69-1303
18065.0,A69-1303-18065,A69-1303
18066.0,A69-1303-18066,A69-1303
18067.0,A69-1303-18067,A69-1303
18068.0,A69-1303-18068,A69-1303
18069.0,A69-1303-18069,A69-1303
18070.0,A69-1303-18070,A69-1303
18072.0,A69-1303-18072,A69-1303
18073.0,A69-1303-18073,A69-1303
18074.0,A69-1303-18074,A69-1303
18075.0,A69-1303-18075,A69-1303
18076.0,A69-1303-18076,A69-1303
18077.0,A69-1303-18077,A69-1303
18080.0,A69-1303-18080,A69-1303
18082.0,A69-1303-18082,A69-1303
18083.0,A69-1303-18083,A69-1303
18084.0,A69-1303-18084,A69-1303
18085.0,A69-1303-18085,A69-1303
18086.0,A69-1303-18086,A69-1303
18088.0,A69-1303-18088,A69-1303
18089.0,A69-1303-18089,A69-1303
18090.0,A69-1303-18090,A69-1303
18091.0,A69-1303-18091,A69-1303
18092.0,A69-1303-18092,A69-1303
18093.0,A69-1303-18093,A69-1303
18094.0,A69-1303-18094,A69-1303
18095.0,A69-1303-18095,A69-1303
18096.0,A69-1303-18096,A69-1303
18098.0,A69-1303-18098,A69-1303
18099.0,A69-1303-18099,A69-1303
18100.0,A69-1303-18100,A69-1303
18101.0,A69-1303-18101,A69-1303
18102.0,A69-1303-18102,A69-1303
18103.0,A69-1303-18103,A69-1303
18104.0,A69-1303-18104,A69-1303
18105.0,A69-1303-18105,A69-1303
18106.0,A69-1303-18106,A69-1303
18107.0,A69-1303-18107,A69-1303
18108.0,A69-1303-18108,A69-1303
18109.0,A69-1303-18109,A69-1303
18111.0,A69-1303-18111,A69-1303
18112.0,A69-1303-18112,A69-1303
18113.0,A69-1303-18113,A69-1303
18114.0,A69-1303-18114,A69-1303
18116.0,A69-1303-18116,A69-1303
18117.0,A69-1303-18117,A69-1303
18118.0,A69-1303-18118,A69-1303
18119.0,A69-1303-18119,A69-1303
18120.0,A69-1303-18120,A69-1303
18121.0,A69-1303-18121,A69-1303
18122.0,A69-1303-18122,A69-1303
18125.0,A69-1303-18125,A69-1303
18126.0,A69-1303-18126,A69-1303
18127.0,A69-1303-18127,A69-1303
18128.0,A69-1303-18128,A69-1303
18129.0,A69-1303-18129,A69-1303
18130.0,A69-1303-18130,A69-1303
18131.0,A69-1303-18131,A69-1303
18132.0,A69-1303-18132,A69-1303
18133.0,A69-1303-18133,A69-1303
18134.0,A69-1303-18134,A69-1303
18135.0,A69-1303-18135,A69-1303
18136.0,A69-1303-18136,A69-1303
18138.0,A69-1303-18138,A69-1303
18139.0,A69-1303-18139,A69-1303
18140.0,A69-1303-18140,A69-1303
18141.0,A69-1303-18141,A69-1303
18142.0,A69-1303-18142,A69-1303
18145.0,A69-1303-18145,A69-1303
18146.0,A69-1303-18146,A69-1303
18147.0,A69-1303-18147,A69-1303
18148.0,A69-1303-18148,A69-1303
18149.0,A69-1303-18149,A69-1303
18150.0,A69-1303-18150,A69-1303
18151.0,A69-1303-18151,A69-1303
18152.0,A69-1303-18152,A69-1303
18154.0,A69-1303-18154,A69-1303
18155.0,A69-1303-18155,A69-1303
18156.0,A69-1303-18156,A69-1303
18160.0,A69-1303-18160,A69-1303
18161.0,A69-1303-18161,A69-1303
18162.0,A69-1303-18162,A69-1303
18163.0,A69-1303-18163,A69-1303
18168.0,A69-1303-18168,A69-1303
18170.0,A69-1303-18170,A69-1303
18171.0,A69-1303-18171,A69-1303
18173.0,A69-1303-18173,A69-1303
19448.0,A69-1303-19448,A69-1303
19450.0,A69-1303-19450,A69-1303
19452.0,A69-1303-19452,A69-1303
19473.0,A69-1303-19473,A69-1303
19475.0,A69-1303-19475,A69-1303
19477.0,A69-1303-19477,A69-1303
19478.0,A69-1303-19478,A69-1303
19480.0,A69-1303-19480,A69-1303
19483.0,A69-1303-19483,A69-1303
19490.0,A69-1303-19490,A69-1303
19497.0,A69-1303-19497,A69-1303
19507.0,A69-1303-19507,A69-1303
19514.0,A69-1303-19514,A69-1303
19516.0,A69-1303-19516,A69-1303
19526.0,A69-1303-19526,A69-1303
19527.0,A69-1303-19527,A69-1303
19529.0,A69-1303-19529,A69-1303
19530.0,A69-1303-19530,A69-1303
19531.0,A69-1303-19531,A69-1303
19532.0,A69-1303-19532,A69-1303
19537.0,A69-1303-19537,A69-1303
19538.0,A69-1303-19538,A69-1303
19539.0,A69-1303-19539,A69-1303
19540.0,A69-1303-19540,A69-1303
19541.0,A69-1303-19541,A69-1303
22651.0,A69-1303-22651,A69-1303
22655.0,A69-1303-22655,A69-1303
22661.0,A69-1303-22661,A69-1303
22670.0,A69-1303-22670,A69-1303
22678.0,A69-1303-22678,A69-1303
22679.0,A69-1303-22679,A69-1303
22680.0,A69-1303-22680,A69-1303
22689.0,A69-1303-22689,A69-1303
22702.0,A69-1303-22702,A69-1303
22704.0,A69-1303-22704,A69-1303
22706.0,A69-1303-22706,A69-1303
22714.0,A69-1303-22714,A69-1303
22724.0,A69-1303-22724,A69-1303
22725.0,A69-1303-22725,A69-1303
22726.0,A69-1303-22726,A69-1303
22741.0,A69-1303-22741,A69-1303
22750.0,A69-1303-22750,A69-1303
22755.0,A69-1303-22755,A69-1303
22757.0,A69-1303-22757,A69-1303
22758.0,A69-1303-22758,A69-1303
22763.0,A69-1303-22763,A69-1303
22766.0,A69-1303-22766,A69-1303
22767.0,A69-1303-22767,A69-1303
22769.0,A69-1303-22769,A69-1303
22770.0,A69-1303-22770,A69-1303
22773.0,A69-1303-22773,A69-1303
22774.0,A69-1303-22774,A69-1303
22775.0,A69-1303-22775,A69-1303
22778.0,A69-1303-22778,A69-1303
22779.0,A69-1303-22779,A69-1303
22786.0,A69-1303-22786,A69-1303
22787.0,A69-1303-22787,A69-1303
22790.0,A69-1303-22790,A69-1303
22791.0,A69-1303-22791,A69-1303
22796.0,A69-1303-22796,A69-1303
22799.0,A69-1303-22799,A69-1303
22804.0,A69-1303-22804,A69-1303
22807.0,A69-1303-22807,A69-1303
22808.0,A69-1303-22808,A69-1303
22809.0,A69-1303-22809,A69-1303
22810.0,A69-1303-22810,A69-1303
22812.0,A69-1303-22812,A69-1303
22813.0,A69-1303-22813,A69-1303
22819.0,A69-1303-22819,A69-1303
22821.0,A69-1303-22821,A69-1303
22823.0,A69-1303-22823,A69-1303
22824.0,A69-1303-22824,A69-1303
23276.0,A69-1303-23276,A69-1303
23278.0,A69-1303-23278,A69-1303
23280.0,A69-1303-23280,A69-1303
23281.0,A69-1303-23281,A69-1303
24391.0,A69-9001-24391,A69-9001
24392.0,A69-9001-24392,A69-9001
24394.0,A69-9001-24394,A69-9001
24395.0,A69-9001-24395,A69-9001
24396.0,A69-9001-24396,A69-9001
24397.0,A69-9001-24397,A69-9001
24398.0,A69-9001-24398,A69-9001
24399.0,A69-9001-24399,A69-9001
24400.0,A69-9001-24400,A69-9001
24401.0,A69-9001-24401,A69-9001
24402.0,A69-9001-24402,A69-9001
24403.0,A69-9001-24403,A69-9001
24404.0,A69-9001-24404,A69-9001
24405.0,A69-9001-24405,A69-9001
24406.0,A69-9001-24406,A69-9001
24407.0,A69-9001-24407,A69-9001
24408.0,A69-9001-24408,A69-9001
24409.0,A69-9001-24409,A69-9001
24410.0,A69-9001-24410,A69-9001
26651.0,A69-9001-26651,A69-9001
26652.0,A69-9001-26652,A69-9001
26653.0,A69-9001-26653,A69-9001
26654.0,A69-9001-26654,A69-9001
26655.0,A69-9001-26655,A69-9001
26656.0,A69-9001-26656,A69-9001
26657.0,A69-9001-26657,A69-9001
26658.0,A69-9001-26658,A69-9001
26659.0,A69-9001-26659,A69-9001
26660.0,A69-9001-26660,A69-9001
26661.0,A69-9001-26661,A69-9001
26662.0,A69-9001-26662,A69-9001
26663.0,A69-9001-26663,A69-9001
26664.0,A69-9001-26664,A69-9001
26665.0,A69-9001-26665,A69-9001
26666.0,A69-9001-26666,A69-9001
26667.0,A69-9001-26667,A69-9001
26668.0,A69-9001-26668,A69-9001
26669.0,A69-9001-26669,A69-9001
26670.0,A69-9001-26670,A69-9001
30608.0,A69-1303-30608,A69-1303
30786.0,A69-1303-30786,A69-1303
30810.0,A69-1303-30810,A69-1303
30819.0,A69-1303-30819,A69-1303
30881.0,A69-1303-30881,A69-1303
30907.0,A69-1303-30907,A69-1303
30908.0,A69-1303-30908,A69-1303
30940.0,A69-1303-30940,A69-1303
30970.0,A69-1303-30970,A69-1303
30983.0,A69-1303-30983,A69-1303
31007.0,A69-1303-31007,A69-1303
31009.0,A69-1303-31009,A69-1303
31037.0,A69-1303-31037,A69-1303
32197.0,A69-1303-32197,A69-1303
32200.0,A69-1303-32200,A69-1303
32225.0,A69-1303-32225,A69-1303
32331.0,A69-1303-32331,A69-1303
32332.0,A69-1303-32332,A69-1303
32546.0,A69-1303-32546,A69-1303
32559.0,A69-1303-32559,A69-1303
32566.0,A69-1303-32566,A69-1303
32587.0,A69-1303-32587,A69-1303
33592.0,A69-1303-33592,A69-1303
33614.0,A69-1303-33614,A69-1303
33646.0,A69-1303-33646,A69-1303
33752.0,A69-1303-33752,A69-1303
34273.0,A69-1601-34273,A69-1601
34274.0,A69-1601-34274,A69-1601
34275.0,A69-1601-34275,A69-1601
34276.0,A69-1601-34276,A69-1601
34277.0,A69-1601-34277,A69-1601
34280.0,A69-1601-34280,A69-1601
34282.0,A69-1601-34282,A69-1601
34283.0,A69-1601-34283,A69-1601
34284.0,A69-1601-34284,A69-1601
34285.0,A69-1601-34285,A69-1601
34286.0,A69-1601-34286,A69-1601
34289.0,A69-1601-34289,A69-1601
34290.0,A69-1601-34290,A69-1601
34291.0,A69-1601-34291,A69-1601
34292.0,A69-1601-34292,A69-1601
34293.0,A69-1601-34293,A69-1601
34294.0,A69-1601-34294,A69-1601
34295.0,A69-1601-34295,A69-1601
34296.0,A69-1601-34296,A69-1601
34297.0,A69-1601-34297,A69-1601
34298.0,A69-1601-34298,A69-1601
34299.0,A69-1601-34299,A69-1601
34300.0,A69-1601-34300,A69-1601
34302.0,A69-1601-34302,A69-1601
34303.0,A69-1601-34303,A69-1601
34304.0,A69-1601-34304,A69-1601
34305.0,A69-1601-34305,A69-1601
34306.0,A69-1601-34306,A69-1601
34307.0,A69-1601-34307,A69-1601
34308.0,A69-1601-34308,A69-1601
34309.0,A69-1601-34309,A69-1601
34310.0,A69-1601-34310,A69-1601
34311.0,A69-1601-34311,A69-1601
34312.0,A69-1601-34312,A69-1601
34313.0,A69-1601-34313,A69-1601
34314.0,A69-1601-34314,A69-1601
34315.0,A69-1601-34315,A69-1601
34316.0,A69-1601-34316,A69-1601
34318.0,A69-1601-34318,A69-1601
34319.0,A69-1601-34319,A69-1601
34320.0,A69-1601-34320,A69-1601
34321.0,A69-1601-34321,A69-1601
35433.0,A180-1702-35433,A180-1702
35434.0,A180-1702-35434,A180-1702
35435.0,A180-1702-35435,A180-1702
35436.0,A180-1702-35436,A180-1702
35443.0,A180-1702-35443,A180-1702
35444.0,A180-1702-35444,A180-1702
35446.0,A180-1702-35446,A180-1702
35450.0,A180-1702-35450,A180-1702
35451.0,A180-1702-35451,A180-1702
35454.0,A180-1702-35454,A180-1702
35456.0,A180-1702-35456,A180-1702
35457.0,A180-1702-35457,A180-1702
35458.0,A180-1702-35458,A180-1702
35459.0,A180-1702-35459,A180-1702
35460.0,A180-1702-35460,A180-1702
35463.0,A180-1702-35463,A180-1702
35465.0,A180-1702-35465,A180-1702
35467.0,A180-1702-35467,A180-1702
35468.0,A180-1702-35468,A180-1702
35469.0,A180-1702-35469,A180-1702
35470.0,A180-1702-35470,A180-1702
35472.0,A180-1702-35472,A180-1702
35475.0,A180-1702-35475,A180-1702
35478.0,A180-1702-35478,A180-1702
35479.0,A180-1702-35479,A180-1702
42392.0,A180-1702-42392,A180-1702
42393.0,A180-1702-42393,A180-1702
42394.0,A180-1702-42394,A180-1702
42398.0,A180-1702-42398,A180-1702
42400.0,A180-1702-42400,A180-1702
42402.0,A180-1702-42402,A180-1702
42403.0,A180-1702-42403,A180-1702
42404.0,A180-1702-42404,A180-1702
42406.0,A180-1702-42406,A180-1702
42409.0,A180-1702-42409,A180-1702
42416.0,A180-1702-42416,A180-1702
42417.0,A180-1702-42417,A180-1702
42421.0,A180-1702-42421,A180-1702
42424.0,A180-1702-42424,A180-1702
42425.0,A180-1702-42425,A180-1702
42426.0,A180-1702-42426,A180-1702
42427.0,A180-1702-42427,A180-1702
42429.0,A180-1702-42429,A180-1702
42431.0,A180-1702-42431,A180-1702
42433.0,A180-1702-42433,A180-1702
42434.0,A180-1702-42434,A180-1702
42435.0,A180-1702-42435,A180-1702
42436.0,A180-1702-42436,A180-1702
42437.0,A180-1702-42437,A180-1702
42438.0,A180-1702-42438,A180-1702
42439.0,A180-1702-42439,A180-1702
50940.0,A69-1303-50940,A69-1303
50950.0,A69-1303-50950,A69-1303
56361.0,A69-1303-56361,A69-1303
56362.0,A69-1303-56362,A69-1303
56363.0,A69-1303-56363,A69-1303
56364.0,A69-1303-56364,A69-1303
56365.0,A69-1303-56365,A69-1303
56366.0,A69-1303-56366,A69-1303
56367.0,A69-1303-56367,A69-1303
56368.0,A69-1303-56368,A69-1303
56369.0,A69-1303-56369,A69-1303
56370.0,A69-1303-56370,A69-1303
56371.0,A69-1303-56371,A69-1303
56372.0,A69-1303-56372,A69-1303
56373.0,A69-1303-56373,A69-1303
56375.0,A69-1303-56375,A69-1303
56376.0,A69-1303-56376,A69-1303
56377.0,A69-1303-56377,A69-1303
56378.0,A69-1303-56378,A69-1303
56379.0,A69-1303-56379,A69-1303
56380.0,A69-1303-56380,A69-1303
56381.0,A69-1303-56381,A69-1303
56382.0,A69-1303-56382,A69-1303
56383.0,A69-1303-56383,A69-1303
56384.0,A69-1303-56384,A69-1303
56385.0,A69-1303-56385,A69-1303
56386.0,A69-1303-56386,A69-1303
56387.0,A69-1303-56387,A69-1303
56388.0,A69-1303-56388,A69-1303
56389.0,A69-1303-56389,A69-1303
56390.0,A69-1303-56390,A69-1303
56391.0,A69-1303-56391,A69-1303
56392.0,A69-1303-56392,A69-1303
56393.0,A69-1303-56393,A69-1303
56394.0,A69-1303-56394,A69-1303
56395.0,A69-1303-56395,A69-1303
56396.0,A69-1303-56396,A69-1303
56397.0,A69-1303-56397,A69-1303
56398.0,A69-1303-56398,A69-1303
56399.0,A69-1303-56399,A69-1303
56400.0,A69-1303-56400,A69-1303
56401.0,A69-1303-56401,A69-1303
56402.0,A69-1303-56402,A69-1303
56403.0,A69-1303-56403,A69-1303
56404.0,A69-1303-56404,A69-1303
56405.0,A69-1303-56405,A69-1303
56406.0,A69-1303-56406,A69-1303
56407.0,A69-1303-56407,A69-1303
56408.0,A69-1303-56408,A69-1303
56409.0,A69-1303-56409,A69-1303
56410.0,A69-1303-56410,A69-1303
56411.0,A69-1303-56411,A69-1303
56412.0,A69-1303-56412,A69-1303
56414.0,A69-1303-56414,A69-1303
56415.0,A69-1303-56415,A69-1303
56416.0,A69-1303-56416,A69-1303
56417.0,A69-1303-56417,A69-1303
56418.0,A69-1303-56418,A69-1303
56419.0,A69-1303-56419,A69-1303
56420.0,A69-1303-56420,A69-1303
56421.0,A69-1303-56421,A69-1303
56423.0,A69-1303-56423,A69-1303
56424.0,A69-1303-56424,A69-1303
56425.0,A69-1303-56425,A69-1303
56426.0,A69-1303-56426,A69-1303
56428.0,A69-1303-56428,A69-1303
56430.0,A69-1303-56430,A69-1303
56431.0,A69-1303-56431,A69-1303
56432.0,A69-1303-56432,A69-1303
56434.0,A69-1303-56434,A69-1303
56436.0,A69-1303-56436,A69-1303
56437.0,A69-1303-56437,A69-1303
56438.0,A69-1303-56438,A69-1303
56440.0,A69-1303-56440,A69-1303
56441.0,A69-1303-56441,A69-1303
56442.0,A69-1303-56442,A69-1303
56443.0,A69-1303-56443,A69-1303
56445.0,A69-1303-56445,A69-1303
56446.0,A69-1303-56446,A69-1303
56449.0,A69-1303-56449,A69-1303
56450.0,A69-1303-56450,A69-1303
56454.0,A69-1303-56454,A69-1303
56456.0,A69-1303-56456,A69-1303
56457.0,A69-1303-56457,A69-1303
56458.0,A69-1303-56458,A69-1303
56459.0,A69-1303-56459,A69-1303
56460.0,A69-1303-56460,A69-1303
56461.0,A69-1303-56461,A69-1303
56462.0,A69-1303-56462,A69-1303
56463.0,A69-1303-56463,A69-1303
56465.0,A69-1303-56465,A69-1303
56466.0,A69-1303-56466,A69-1303
56467.0,A69-1303-56467,A69-1303
56468.0,A69-1303-56468,A69-1303
56469.0,A69-1303-56469,A69-1303
56470.0,A69-1303-56470,A69-1303
56471.0,A69-1303-56471,A69-1303
56472.0,A69-1303-56472,A69-1303
56473.0,A69-1303-56473,A69-1303
56474.0,A69-1303-56474,A69-1303
56475.0,A69-1303-56475,A69-1303
56476.0,A69-1303-56476,A69-1303
56477.0,A69-1303-56477,A69-1303
56479.0,A69-1303-56479,A69-1303
56480.0,A69-1303-56480,A69-1303
56482.0,A69-1303-56482,A69-1303
56483.0,A69-1303-56483,A69-1303
56484.0,A69-1303-56484,A69-1303
56486.0,A69-1303-56486,A69-1303
56487.0,A69-1303-56487,A69-1303
56488.0,A69-1303-56488,A69-1303
56489.0,A69-1303-56489,A69-1303
56490.0,A69-1303-56490,A69-1303
56491.0,A69-1303-56491,A69-1303
56492.0,A69-1303-56492,A69-1303
56493.0,A69-1303-56493,A69-1303
56494.0,A69-1303-56494,A69-1303
56495.0,A69-1303-56495,A69-1303
56496.0,A69-1303-56496,A69-1303
56497.0,A69-1303-56497,A69-1303
56498.0,A69-1303-56498,A69-1303
56499.0,A69-1303-56499,A69-1303
56500.0,A69-1303-56500,A69-1303
58623.0,A69-1303-58623,A69-1303
58624.0,A69-1303-58624,A69-1303
58625.0,A69-1303-58625,A69-1303
58626.0,A69-1303-58626,A69-1303
58627.0,A69-1303-58627,A69-1303
58628.0,A69-1303-58628,A69-1303
58629.0,A69-1303-58629,A69-1303
58630.0,A69-1303-58630,A69-1303
58631.0,A69-1303-58631,A69-1303
58632.0,A69-1303-58632,A69-1303
58633.0,A69-1303-58633,A69-1303
58634.0,A69-1303-58634,A69-1303
58635.0,A69-1303-58635,A69-1303
58636.0,A69-1303-58636,A69-1303
58637.0,A69-1303-58637,A69-1303
58638.0,A69-1303-58638,A69-1303
58639.0,A69-1303-58639,A69-1303
58640.0,A69-1303-58640,A69-1303
58641.0,A69-1303-58641,A69-1303
58642.0,A69-1303-58642,A69-1303
58643.0,A69-1303-58643,A69-1303
58644.0,A69-1303-58644,A69-1303
58646.0,A69-1303-58646,A69-1303
58647.0,A69-1303-58647,A69-1303
58648.0,A69-1303-58648,A69-1303
63833.0,A69-1303-63833,A69-1303
63836.0,A69-1303-63836,A69-1303
